--- chiEFTparameters used ---
n_mesh = 50
pmax_fm = 5.0
emax = 4
Nnmax = 20
chi_order = 4
calc_NN = true
calc_3N = true
coulomb = true
calc_EperA = false
hw = 20.0
srg = true
srg_lambda = 2.0
tbme_fmt = snt.bin
fn_tbme = tbme_emn500n4lo_2n3n_srg2.0hw20emax4.snt.bin
pottype = emn500n4lo
LambdaSFR = 700.0
target_nlj = Vector{Int64}[]
v_chi_order = 0
n_mesh_P = 10
Pmax_fm = 3.0
kF = 1.35
BetaCM = 0.0
-----------------------------
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
# of two-body states 78
# of sp states 15
# of channels 2bstate 55 #TBME = 34320
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
target: O16 Ref. => Z=8 N=8 E:     -86.8656  = E1b    329.29  + E2b   -416.16   (    -35.64  -327.21   -53.31)
EMP2    -23.15627 1b    -0.000 pp    -2.982 pn   -17.138 nn    -3.036
EMP3      0.47114 pp     0.637 hh    -1.206 ph     1.040
E_HF    -86.86559  E_MBPT(3) =    -109.5507  Eexp:     -127.619

parameters in ann_sample_params.jl will be used.
 step:        s             E0   ||Omega_1||   ||Omega_2||     ||Eta_1||     ||Eta_2||    Ncomm.  nwritten
     0    0.000   -86.86559162  0.000000e+00  0.000000e+00  2.985295e-16  1.407032e+00         0         0
     1    0.250   -96.96492092  7.463237e-17  3.517580e-01  2.707614e-02  1.013639e+00         8         0
     2    0.500  -102.42426879  6.797688e-03  6.046028e-01  4.261553e-02  7.613126e-01        19         0
     3    0.750  -105.57736783  1.750992e-02  7.936035e-01  5.158798e-02  5.880441e-01        32         0
     4    1.000  -107.49655646  3.049114e-02  9.384645e-01  5.645294e-02  4.643505e-01        45         0
     5    1.250  -108.71987355  4.470698e-02  1.051618e+00  5.861684e-02  3.736061e-01        58         0
     6    1.500  -109.53272351  5.947511e-02  1.141407e+00  5.895651e-02  3.055362e-01        71         0
     7    1.750  -110.09320001  7.433401e-02  1.213641e+00  5.805179e-02  2.534486e-01        85         0
     8    2.000  -110.49230499  8.896875e-02  1.272471e+00  5.630259e-02  2.128437e-01        99         0
     9    2.250  -110.78437006  1.031657e-01  1.320918e+00  5.399294e-02  1.806323e-01       113         0
    10    2.500  -111.00301031  1.167833e-01  1.361218e+00  5.132848e-02  1.546608e-01       127         0
    11    2.750  -111.16975766  1.297318e-01  1.395043e+00  4.845961e-02  1.334078e-01       141         0
    12    3.000  -111.29886917  1.419595e-01  1.423666e+00  4.549664e-02  1.157844e-01       155         0
    13    3.250  -111.40008101  1.534423e-01  1.448062e+00  4.252028e-02  1.010003e-01       168         0
    14    3.500  -111.48022972  1.641768e-01  1.468988e+00  3.958844e-02  8.847404e-02       181         0
